"wk";"n"
202119;2397824
202120;2156409
202121;1946840
202122;1728186
202123;1597854
202124;1482273
202125;1391878
202126;1296818
202127;1230703
202128;1176842
202129;1134000
202130;1106701
202131;1086212
202132;1074577
202133;1057471
202134;1028925
202135;995180
202136;967582
202137;941354
202138;928315
202139;918433
202140;909040
202141;897327
202142;884037
202143;871261
202144;849310
202145;822858
202146;791140
202147;757449
202148;726103
202149;703699
202150;687902
202151;679991
202152;669572
202201;661428
202202;653669
202203;646294
202204;640482
202205;634540
202206;630972
202207;628659
202208;626732
202209;625235
202210;623751
202211;622320
202212;621322
202213;620394
